pocket,seat
AA,E
AKs,E
AQs,E
AJs,E
ATs,E
A9s,E
A8s,E
A7s,E
A6s,E
A5s,E
A4s,E
A3s,E
A2s,E
AKo,E
KK,E
KQs,E
KJs,E
KTs,E
K9s,E
K8s,E
K7s,M
K6s,M
K5s,M
K4s,L
K3s,L
K2s,L
AQo,E
KQo,E
QQ,E
QJs,E
QTs,E
Q9s,E
Q8s,M
Q7s,M
Q6s,L
Q5s,L
Q4s,L
Q3s,L
Q2s,L
AJo,E
KJo,E
QJo,E
JJ,E
JTs,E
J9s,E
J8s,M
J7s,L
J6s,L
J5s,L
J4s,L
J3s,L
J2s,L
ATo,E
KTo,M
QTo,M
JTo,M
TT,E
T9s,E
T8s,M
T7s,L
T6s,L
T5s,L
T4s,L
T3s,L
T2s,L
A9o,L
K9o,L
Q9o,L
J9o,L
T9o,L
99,E
98s,E
97s,M
96s,L
95s,L
94s,N
93s,N
92s,N
A8o,M
K8o,L
Q8o,L
J8o,L
T8o,L
98o,L
88,E
87s,E
86s,M
85s,L
84s,N
83s,N
82s,N
A7o,L
K7o,L
Q7o,L
J7o,L
T7o,L
97o,L
87o,N
77,E
76s,M
75s,M
74s,L
73s,L
72s,N
A6o,L
K6o,L
Q6o,N
J6o,N
T6o,N
96o,N
86o,L
76o,L
66,E
65s,M
64s,L
63s,N
62s,N
A5o,L
K5o,L
Q5o,L
J5o,N
T5o,N
95o,N
85o,N
75o,L
65o,L
55,E
54s,M
53s,N
52s,N
A4o,L
K4o,L
Q4o,N
J4o,N
T4o,N
94o,N
84o,N
74o,N
64o,L
54o,N
44,E
43s,L
42s,L
A3o,L
K3o,N
Q3o,N
J3o,N
T3o,N
93o,N
83o,N
73o,N
63o,N
53o,N
43o,N
33,M
32s,L
A2o,L
K2o,N
Q2o,N
J2o,N
T2o,N
92o,N
82o,N
72o,N
62o,N
52o,N
42o,N
32o,N
22,M
